Item_Identifier,Item_Outlet_Sales,Outlet_Identifier
FDW58,1587.9574470752402,OUT049
FDW14,1445.7738572627609,OUT017
NCN55,572.473876338105,OUT010
FDQ58,2505.0117201777525,OUT017
FDY38,5864.176850714227,OUT027
FDH56,1947.7485062816797,OUT046
FDL48,733.7554825202003,OUT018
FDC48,2162.153001259456,OUT027
FDN33,1538.5541484358882,OUT045
FDA36,3054.3485707217083,OUT017
FDT44,1955.6269307461635,OUT017
FDQ56,1430.336290312093,OUT045
NCC54,573.9023806936623,OUT019
FDU11,2010.4524505847776,OUT049
DRL59,847.8982005507097,OUT013
FDM24,2482.4448652118217,OUT049
FDI57,3102.6138960403637,OUT045
DRC12,3051.151178254651,OUT018
NCM42,2942.498158299187,OUT027
FDA46,506.26597241186624,OUT010
FDA31,2848.793652425126,OUT013
NCJ31,3881.6788905292447,OUT035
FDG52,740.2890316511856,OUT046
NCL19,287.03257905898204,OUT019
FDS10,3010.670832969978,OUT035
FDX22,566.720648916401,OUT010
NCF19,738.8227568196888,OUT035
NCE06,2561.0293254310477,OUT046
DRC27,3888.5709018059338,OUT046
FDE21,1947.7485062816797,OUT035
NCR42,131.7525156513408,OUT019
FDX51,3054.9529430317243,OUT018
NCR06,663.7312403379241,OUT018
FDU31,5864.176850714227,OUT027
FDU59,2565.9664478793343,OUT017
FDR03,5858.29363547052,OUT027
FDS49,2084.173301535843,OUT027
FDD48,270.80829074601047,OUT010
NCF18,3053.5811865157098,OUT017
NCD43,2864.6298194363626,OUT027
NCD54,2119.1158012598403,OUT018
FDY19,271.62251837777313,OUT010
NCY54,2848.793652425126,OUT017
NCL19,2473.986954258937,OUT018
FDP23,570.6950945504055,OUT010
FDC26,1706.8434566704632,OUT013
FDR14,131.7525156513408,OUT010
NCS41,3057.382951292783,OUT035
FDF41,3917.0573764285564,OUT035
FDU34,2016.2063899935733,OUT046
DRH11,973.2525292939735,OUT046
FDM03,1585.5804456821693,OUT013
FDS31,3022.319539624982,OUT017
FDJ20,2010.4524505847776,OUT017
FDV44,5192.840976145172,OUT027
FDG02,3054.3485707217083,OUT049
FDA09,2977.2137326626125,OUT013
